86,0101000020E61000005E013BED5F915EC0919BE1067CE44240,0101960,57507,Marina Village Pkwy:#1080,96,['96']
87,0101000020E6100000D85B14877D915EC03FEC3B759BE44240,0101970,58321,Marina Village Pkwy:#1201,96,['96']
88,0101000020E61000000D0863FA94915EC032A3699AC1E44240,0101980,59987,Marina Village Pkwy:#1250,96,['96']
90,0101000020E6100000AF4CAE1864915EC0FADBF9D923E44240,0102000,55430,Challenger Dr:Marina Village Pkwy,96,['96']
91,0101000020E6100000A65AB0F95D915EC0F9F2A73231E44240,0102010,57656,Marina Village Pkwy:Challenger Dr,96,['96']
92,0101000020E61000006D0B85BEAA915EC01F9A1EB9DAE44240,0102030,56715,Marina Village Pkwy:Mariner Square Dr (North Jctn),96,['96']
93,0101000020E6100000DBA50D87A5915EC04DF8A57EDEE44240,0102040,58177,Marina Village Pkwy:Mariner Square Dr (North Jctn),96,['96']
94,0101000020E6100000BA83D899C2915EC0A752584EE7E44240,0102050,56716,Marina Village Pkwy:Mariner Sq Loop,96,['96']
95,0101000020E6100000EA6FAE064D925EC0A141542B5DE34240,0102070,58277,Pacific Av:4th St,96 631 663,"['96', '631', '663']"
96,0101000020E61000005A48C0E8728F5EC0884677103BDE4240,0102080,58377,Mecartney Rd:Auburn Dr,21,['21']
98,0101000020E61000000EE5FA2DF08F5EC08992358F68DE4240,0102110,53488,Mecartney Rd:Baywalk Rd,21,['21']
99,0101000020E61000009C1320AF2C8F5EC0F89E364F1ADE4240,0102160,59008,Mecartney Rd:Camellia Dr,21,['21']
100,0101000020E6100000B5615E91298F5EC02BDF8ECB13DE4240,0102180,58807,Mecartney Rd:Holly St,21 OX 631 687,"['21', '631', '687']"
101,0101000020E6100000C9FBDDE0B08F5EC0022E235058DE4240,0102190,50277,Mecartney Rd:Ironwood Rd,21,['21']
102,0101000020E610000017F60F7D528F5EC0DEA925C22BDE4240,0102200,50377,Mecartney Rd:Island Dr,21,['21']
104,0101000020E61000009481A8A047905EC0EF1EA0FB72DE4240,0102240,57517,Mecartney Rd:Sharon Rd,21,['21']
105,0101000020E6100000B0D3FEBD4A905EC028C984A977DE4240,0102250,59040,Mecartney Rd:Sharon Rd,21,['21']
106,0101000020E61000008143030CA68F5EC04654F2FB48DE4240,0102260,51550,Mecartney Rd:Verdemar Dr,21 OX 631 687,"['21', '631', '687']"
107,0101000020E6100000E4A25A4414905EC0BC02D19332E14240,0102370,58817,Otis Dr:#2217,W 314 663,"['314', '663']"
108,0101000020E6100000A10B8FA2F3905EC0781E262BD0E14240,0102380,57790,Otis Dr:Arlington Isle,20 663,"['20', '663']"
109,0101000020E610000029AE2AFBAE8F5EC0E1B6B6F0BCE04240,0102390,50399,Otis Dr:Broadway,W 21 314 356,"['21', '314', '356']"
111,0101000020E610000046F5317AC9905EC04A079046AAE14240,0102420,57527,Otis Dr:Grand St,W 20 663,"['20', '663']"
112,0101000020E61000000FD6FF39CC905EC0167948E7B2E14240,0102430,56675,Otis Dr:Grand St,W 20 663,"['20', '663']"
113,0101000020E61000009A55E938488F5EC08D87AD8F3DE04240,0102440,55393,Otis Dr:High St,21 OX 314 356 631,"['21', '314', '356', '631']"
114,0101000020E6100000DF50F86C1D915EC0D6468666E8E14240,0102450,56844,Otis Dr:Larchmont Isle,W 20 663,"['20', '663']"
115,0101000020E6100000183A1B9716915EC01159FF42EAE14240,0102460,53113,Otis Dr:Larchmont Isle,W 20 663,"['20', '663']"
116,0101000020E610000026FC523F6F8F5EC0F7AB00DF6DE04240,0102480,56725,Otis Dr:Mound St,21 314 356,"['21', '314', '356']"
118,0101000020E61000009AB2D30FEA8F5EC01842CEFBFFE04240,0102500,53994,Otis Dr:Park St,W 20 314 663,"['20', '314', '663']"
119,0101000020E610000056815A0C1E905EC0137EA99F37E14240,0102530,58344,Otis Dr:S Shore Ctr,W 314 663,"['314', '663']"
120,0101000020E61000005B142CC459915EC06AF57A9C0EE24240,0102560,51531,Otis Dr:Westline Dr,W 20 663,"['20', '663']"
121,0101000020E6100000F93E66B15E915EC02B4F20EC14E24240,0102570,55606,Otis Dr:Westline Dr,W 20 663,"['20', '663']"
122,0101000020E6100000111379373B905EC0D65416855DE14240,0102580,58522,Otis Dr:Willow St,W 314 663,"['314', '663']"
124,0101000020E6100000AC4DAD0848925EC0797B6BBB64E34240,0102630,59770,Pacific Av:4th St,96 631 663,"['96', '631', '663']"
125,0101000020E6100000E5AE6F719E925EC0354C231C69E34240,0102640,54682,Pacific Av:Main St,96,['96']
126,0101000020E6100000E09398B1328F5EC0FCC22B499EE24240,0102680,56488,Park St:Blanding Av,20 21,"['20', '21']"
127,0101000020E610000034AAC255548F5EC0203E552A4DE24240,0102690,55844,Park St:Buena Vista Av,20 21 OX,"['20', '21']"
128,0101000020E61000004B7E7A223E8F5EC0B13F3F4283E24240,0102730,56433,Park St:Clement Av,20 21 OX,"['20', '21']"
130,0101000020E6100000FF5D9F39EB8F5EC08577B988EFE04240,0102810,57537,Park St:Otis Dr,20 314 356,"['20', '314', '356']"
131,0101000020E6100000E682E96AE18F5EC02A3D2E05FFE04240,0102820,57797,Park St:Otis Dr,20 21 314 663,"['20', '21', '314', '663']"
